DBID,FTYID,FTYName,V,DBID,,,
602,0TK,台湾今机,0TK-台湾今机,602,,,
603,7KC,广东库特,7KC-广东库特,603,,,
604,7CE,宁波创美,7CE-宁波创美,604,,,
605,7AL,上海华龙,7AL-上海华龙,605,,,
606,7WC,伟达,7WC-伟达,606,,,
607,7AG,弘兴,7AG-弘兴,607,,,
608,7YD,永旺,7YD-永旺,608,,,
609,7AQ,景全,7AQ-景全,609,,,
610,7DQ,德群,7DQ-德群,610,,,
611,7SO,双科,7SO-双科,611,,,
612,7KD,科腾,7KD-科腾,612,,,
613,7ZE,中扬,7ZE-中扬,613,,,
614,7BD,临沂鸿达,7BD-临沂鸿达,614,,,
615,7AN,伊朗吹瓶机厂商ALVAND,7AN-伊朗吹瓶机厂商ALVAND,615,,,
616,7DI,余姚大爱,7DI-余姚大爱,616,,,
617,7TW,东莞台旺,7TW-东莞台旺,617,,,
618,7ZQ,张家港自强,7ZQ-张家港自强,618,,,
619,7BB,张家港贝司德,7BB-张家港贝司德,619,,,
620,7KE,柳州开宇,7KE-柳州开宇,620,,,
621,7BL,宁海华力,7BL-宁海华力,621,,,
622,7AJ,嘉兴昌,7AJ-嘉兴昌,622,,,
623,7NA,广东南钢,7NA-广东南钢,623,,,
624,7XS,昆山欣斯特,7XS-昆山欣斯特,624,,,
625,7ZS,温州至上,7ZS-温州至上,625,,,
626,7FY,柳州精业,7FY-柳州精业,626,,,
627,7SP,杭州胜源,7SP-杭州胜源,627,,,
628,7TN,天达,7TN-天达,628,,,
629,7LE,朗亿,7LE-朗亿,629,,,
630,7TX,同鑫,7TX-同鑫,630,,,
631,7CX,宏星,7CX-宏星,631,,,
632,7TN,天达星,7TN-天达星,632,,,
633,7DZ,中山华赞,7DZ-中山华赞,633,,,
634,7RJ,日进,7RJ-日进,634,,,
635,7SQ,宁波晟菲,7SQ-宁波晟菲,635,,,
636,7KJ,东莞科骏,7KJ-东莞科骏,636,,,
637,7XL,协力,7XL-协力,637,,,
638,7QL,中山全立发,7QL-中山全立发,638,,,
639,7MR,明润,7MR-明润,639,,,
640,7QY,常州乾易利,7QY-常州乾易利,640,,,
641,7FM,余姚今鸣,7FM-余姚今鸣,641,,,
642,7FK,法克,7FK-法克,642,,,
643,7ZG,扬州中环,7ZG-扬州中环,643,,,
644,7TS,临安台塑,7TS-临安台塑,644,,,
645,7GQ,东莞广庆,7GQ-东莞广庆,645,,,
646,7NE,诺恩,7NE-诺恩,646,,,
647,7YE,鹏岳,7YE-鹏岳,647,,,
648,7TP,天沅,7TP-天沅,648,,,
649,7MY,弘粤,7MY-弘粤,649,,,
650,7ZI,中汇,7ZI-中汇,650,,,
651,7DA,德玛克,7DA-德玛克,651,,,
652,7GC,格林斯顿,7GC-格林斯顿,652,,,
653,7YF,余姚华城,7YF-余姚华城,653,,,
