"00TKCA60M5C","TKC_A60_M5C"
"1BP_MMI_270B_N","MMI270M82+第二組NET"
"1BP_MMI_270B_NT","MMI270B_N+TOUCH SCREEN"
"1BP_MMI_3386","MMI 3386"
"1BP_MMI_3386I","3386帶網路卡"
"1BP_MMI_K32","人機界面 烘烤OK"
"1BP_MMI_K7_L","MMI BWS7M1 LED"
"1BP_MMI_K7A","MMIBWS7M2"
"1BP_MMI_K7AB_L","MMIBWS7M2"
"1BP_MMI_K7B_L","MMI BWS7M1 LED"
"1BP_MMI_S7C_N","MMI S7C 帶網路卡"
"1BP_MMI_S7CH","MMI S7M2"
"1BP_MMI_S7CH_L","MMI S7CH LED"
"1BP_MMI_S7FH_L","MMIS7M7 HI用 LED BAR"
"1BP_MMI_S7FH_NL","MMIS7M7 +iNet HI用 LED BAR"
"1BP_NET_CARD_1H","網路卡"
"1BP_PCB17_01","IO2C_1131"
"1BP_PCB21_01","IO2C_1111"
"1BP_PCB23_01","IO2C_1112"
"1BP_PCB29_01","S2C_4111單板"
"1BP_PDU11_01X","農藥檢測儀"
"1BP_PDU11_01X_1","農藥檢測儀附軟體"
"1BP_PDU11_02X","農藥檢測儀V2.0"
"1BP_PILOT3A_N",""
"1BP_PILOT3A_N(T1)","PILOT3A"
"1BP_PILOT3A_N_X5","PILOT3A_N_X5"
"1BP_PILOT3H_N","PILOT3M3 HI.SP.TP+NET"
"1BP_PILOT3H_N_V2","PILOT3H_N_V2"
"1BP_PILOT3H_N_X5","PILOT3高速溫度板+Inet(P4V F4V±10V)"
"1BP_PMOOGB","PMOOGB"
"1BP_RGM5530M1","RGM5530M1"
"1BP_RGM5580(T1)","2BP_RGM5580"
"1BP_RLYROBTA","8P OUTPUT+6P INPUT"
"1BP_S600_BP4P","6K BP4P"
"1BP_S600_BP5P","6K BP5P"
"1BP_S600_BP6P","6000 BP6P"
"1BP_S600_BP7P","6000  BP7P"
"1BP_S700_AD8B","7KADM3"
"1BP_S700_CPUA","7KCPU PLC02M2"
"1BP_S700_CPUB_N1","7KCPUM5 NET"
"1BP_S700_DT0","7KTMP T0"
"1BP_S700_DT9_FV_T3","7KTMP F電壓源"
"1BP_S700_DT9A_T1","溫控板"
"1BP_S700_FRAD8","7KFRADM1"
"1BP_S700_IO3232M1","7KIO3232"
"1BP_S700_IO3232M1A","7KIO3232M1A"
"1BP_S700_IO4848","7KIO4848"
"1BP_S700_IO4848A","7KIO4848A"
"1BP_S700_TP10A_S1","7KTPM5_2 電熱輸出500mA"
"1BP_S700_TP10A_S6","7KTPM5_2 P1,F1(V)P2 電熱輸出500mA"
"1BP_S700_TP10A_SB","7KTPM5 NO P,F"
"1BP_S700_V8A_V1","V8加一組+/-10V"
"1BP_SMC55M28M3","SMC55M28M3"
"1BP_SMC55M28M3_TM","SMC55M28M3 HT USE"
"1BP_SMC55M28M3_Z1","SMC55M28M3 DA1通道改為正負10V"
"1BP_SPVA","SPV"
"1BP_SS_TB1_02","觸摸面板PCB（單路）"
"1BP_SS_TB2_02","觸摸面板PCB（雙路）"
"1BP_TECH1H_AN","TECH1 M2"
"1BP_TECH2H_AN","TECH2HM2"
"1BP_TECH2H_AN_X5","TECH2H_N_X5 P4,F4 +-10V"
"1BP_TECH2H_N_X5","TECH2H_N_X5"
"1BP_TECH2M5_1N","TECH2m5_1N"
"1BP_TECHHYBH_AN","TECHHYBH_AN"
"1BP_TECHHYBM7_N","TECHHYBM7_N"
"1BP_TMPEXTA","溫度轉接板"
"1BP_TMPEXTB","溫度轉接板"
"1BP_TMPEXTD","溫度轉接板（加電阻）"
"1BP_TMPEXTD_1","TMPEXTD +接地線夾"
"1BP_TMPEXTD_B","溫度轉接板 （電阻+電容）"
"1BP_TMPEXTD_B1","溫度轉接板 （電阻+電容）加接地環"
"1BP_TMPEXTD_HT","溫度轉接板"
"1BP_TMPEXTE_B","TMPEXTE"
"1BP_TMPEXTE_B1","溫度轉接板 （電阻+電容）加接地環"
"1BP_USB","USB"
"1BP_VIO07","VIO 07"
"1BX_66A2P4T1T2D1","R6,600CPU,AD05,IO48,DT9,DT9V,DT0"
"1BX_714A1P1","R4,CPUB_N1,AD8,IO3232M1A"
"1BX_714A1P1M1","R4,CPUB_N1,IO3232M1A,AD8B,PWM09"
"1BX_714A1P1S1","R4,CPUB_N1,AD8.IO3232M1A,TP10"
"1BX_714A1P1S6","R4,CPUB_N1,IO3232M1A,AD8B,TP10_S6"
"1BX_714A2P1M1","R4,N1,AD8B ,IO3248M1A,PWM09"
"1BX_714A2P1S1","R4,CPUB_N1,AD8.IO3248M1A,TP10_S1"
"1BX_714A2P1S6","R4,CPUB_N1,AD8.IO3248M1A,TP10S6"
"1BX_714A4P1M1","R4,CPUB_N1,AD8,IO4848A,PWM09"
"1BX_714A4P1S1","R4,CPUB_N1,AD8,IO4848A,TP10_S1"
"1BX_714A4P1S6","R4，CPUB_N1，AD8B,TP10_S6，IO4848A"
"1BX_714I2P1M1","R4,CPUB_N1,IO3248,AD8A,PWM09"
"1BX_714I2P1S1","R4,CPUB_N1,AD8.IO3248,TP10"
"1BX_714I2P1S6","R4,CPUB_N1,IO3248,AD8B,S6"
"1BX_714S1S1","CPUB_N1/RACK4A/TP10_S1*2"
"1BX_714S1S1S1","R4,CPUB_N1,TP10_SB*2"
