"00TKCA60M5C","TKC_A60_M5C"
"1BX_A85_Z0","SYSTEM A80 CPU(Z0)+AD05F"
"1BX_A8E_ALL","A8E主機"
"1BX_AK580_ALL","SYSTEM AK580 CPUB+T1015"
"1BX_AK618_N_V3","AK618 M5"
"1BX_AK618_TM","採集器"
"1BX_AK618_TM_ALL","IO採集器"
"1BX_AK618H_ALL_1","AK618"
"1BX_AK618H_N_V3","AK618_N_V3"
"1BX_AK628H","AK628H"
"1BX_AK628H_ALL_1","AK628H"
"1BX_AK628H_ALL_1_U","AK628主機0~10V"
"1BX_AK628H_ALL_OL","AK628H 歐意萊"
"1BX_AK628H_ALL_ST","AK628H 雙盛"
"1BX_AK628H_ALL_YL","AK628H  亞力士"
"1BX_AK628S","AK628S"
"1BX_AK668_A1","SYSTEM AK668CPU"
"1BX_AK668_ALL","SYSTEM AK668CPU"
"1BX_AK668_ALL_TJ","TJ SYSTEM AK668 CPU+T1015"
"1BX_AK668_V2_ALL","SYSTEM AK668 V2+T1015"
"1BX_AK668A","SYSTEM AK668CPUA"
"1BX_AK668E_A1","SYSTEM AK668ECPU NO LOGO"
"1BX_AK668E_ALL","SYSTEM AK668ECPU NO LOGO"
"1BX_AK668H","SYSTEM AK668CPUA"
"1BX_AK668H_ALL","SYSTEM AK668CPUA"
"1BX_AK668H_ALL_TJ","SYSTEM AK668CPUA TJ"
"1BX_AK668N_A1","SYSTEM AK668NCPU"
"1BX_AK668N_ALL","AK668N+T1015AS"
"1BX_AK668N_ALL_TJ","TJ SYSTEM AK668N CPU+T1015"
"1BX_AK668N_V2_ALL","P3、F3、P4、F4電壓源"
"1BX_AK668NE_A1","SYSTEM AK668NECPU NO LOGO"
"1BX_AK668NE_LG","AK668H 主機LG 專用"
"1BX_ATM_I0","30KW"
"1BX_ATM_J2","22KW"
"1BX_ATM_K1","11kw"
"1BX_ATM_K5","15KW"
"1BX_ATM_K8","18.5kw"
"1BX_AU_30KW",""
"1BX_AU_37KW",""
"1BX_AU_55KW",""
"1BX_AU_7_5KW","7.5KW"
"1BX_AU_H5","AUSTONE-45KW"
"1BX_AU_IK3","1BX_AUSTONEIK3"
"1BX_AU_IK8","1BX_AUSTONEIK8"
"1BX_AU_PJ3",""
"1BX_AU_PK1",""
"1BX_AU_PK7",""
"1BX_AUSTONEPI0B","停用 18/10/23 30KW-new"
"1BX_AUSTONEPI0B_2","220V驅動器??????"
"1BX_AUSTONEPI0B_CV","AUSTONE 30KW RESOLVER(28335)"
"1BX_AUSTONEPI0B_CV2","AUSTONE 30KW 220V RESOLVER(28335)"
"1BX_AUSTONEPJ3B","停用 18/8/22 23KW-黑"
"1BX_AUSTONEPJ3B_2","220V驅動器?(A-15KW)??????"
"1BX_AUSTONEPJ3B_CV","AUSTONE 23KW RESOLVER(28335)"
"1BX_AUSTONEPJ3B_CV2","220V驅動器（1BX_AUSTONEPJ3B_CV）"
"1BX_AUSTONEPK1B","11KW黑"
"1BX_AUSTONEPK1B_CV","AUSTONE 11KW RESOLVER(28335)"
"1BX_AUSTONEPK5B","AUSTONE-15KW"
"1BX_AUSTONEPK5B_2","220V驅動器?(A-15KW)"
"1BX_AUSTONEPK5B_CV","AUSTONE 15KW RESOLVER(28335)"
"1BX_AUSTONEPK5B_CV2","220V驅動器（1BX_AUSTONEPK5B_CV）"
"1BX_AUSTONEPK8B","停用 18/6/2 18.5KW黑"
"1BX_AUSTONEPK8B_2","220V驅動器（1BX_AUSTONEPK8B）"
"1BX_AUSTONEPK8B_CV","AUSTONE 18.5KW RESOLVER(28335)"
"1BX_AUSTONEPK8B_CV2","220V驅動器（1BX_AUSTONEPK8B_CV）"
"1BX_AUSTONETE5B","75KW"
"1BX_AUSTONETE5B_2","220V驅動器?(45kw)"
"1BX_AUSTONETG5B","停用 18/6/1 55KW"
"1BX_AUSTONETG5B_2","220V驅動器"
"1BX_AUSTONETG5B_CV","AUSTONE 55KW RESOLVER(28335)"
"1BX_AUSTONETH5B","45KW"
"1BX_AUSTONETH5B_2","220V驅動器?(30KW)"
"1BX_AUSTONETH5B_CV","AUSTONE 45KW RESOLVER(28335)"
"1BX_AUSTONETI7B","停用 18/7/5 AUSTONE IGBT 37KW(BLACK)"
"1BX_AUSTONETI7B_2","220V驅動器?(A-23KW)"
"1BX_AUSTONETI7B_CV","AUSTONE 37KW RESOLVER(28335)"
"1BX_AUSTONETI7B_CV2","AUSTONE 37KW 220V RESOLVER(28335)"
"1BX_BA84_ALL","BA84主機"
"1BX_BA84_Z7","P1,F1,P2電壓源"
"1BX_CONTAINER_200KW","200KW光伏逆變控制集裝箱"
"1BX_DCH40NB","DCH40NB"
"1BX_DE688C0F3","DE688 風冷 90KW TM-BUS"
"1BX_DE688C0F3CV","DE688 風冷 90KW"
"1BX_DE688C0W3","DE688 液冷 90KW TM-BUS"
"1BX_DE688E5F3","DE688 風冷 75KW TM-BUS"
"1BX_DE688E5F3CV","DE688 風冷 75KW"
"1BX_DE688E5W3","DE688 液冷 75KW TM-BUS"
"1BX_DE688G5F3","DE688 風冷 55KW TM-BUS"
"1BX_DE688G5F3_TW","DE688-55KW TM-BUS（台灣）"
"1BX_DE688G5F3CV","DE688 風冷 55KW"
"1BX_DE688G5W3","DE688 液冷 55KW TM-BUS"
"1BX_DE688H5F3","DE688 風冷 45KW TM-BUS"
"1BX_DE688H5F3CV","DE688 風冷 45KW"
"1BX_DE688H5W3","DE688 液冷 45KW TM-BUS"
"1BX_DE688I0F3","DE688 風冷 30KW TM-BUS"
"1BX_DE688I0F3CV","DE688 風冷 30KW"
"1BX_DE688I7F3","DE688 風冷 37KW TM-BUS"
"1BX_DE688I7F3_TW","DE688-37KW TM-BUS（台灣）"
"1BX_DE688I7F3CV","DE688 風冷 37KW"
"1BX_DE688I7W3","DE688 液冷 37KW TM-BUS"
"1BX_DE688J2F3","DE688 風冷 22KW TM-BUS"
"1BX_DE688J2F3CV","DE688 風冷 22KW"
"1BX_DE688K1F3","DE688 風冷 11KW TM-BUS"
"1BX_DE688K1F3CV","DE688 風冷 11KW"
"1BX_DE688K5F3","DE688 風冷 15KW TM-BUS"
"1BX_DE688K5F3CV","DE688 風冷 15KW"
"1BX_DE688K8F3","DE688 風冷 18.5KW TM-BUS"
"1BX_DE688K8F3_TW","DE688-18.5KW（台灣）"
"1BX_DE688K8F3CV","DE688 風冷 18.5KW"
"1BX_DE688K8F3CV_TW","DE688-18.5KW（台灣）"
"1BX_DGHY_KTZF0","弘允車控60kW HYKTZ54X40SA04"
"1BX_DGHY_KTZI0","弘允車控30kW HYKTZ30X30SA04"
"1BX_FS_060500","驅動器用保險絲盒60A 50A"
"1BX_FS_060605","驅動器用保險絲盒60A 60A 50A"
"1BX_FS_080000","驅動器用保險絲盒80A 80A"
"1BX_FS_080500","驅動器用保險絲盒80A 50A"
"1BX_FS_080606","驅動器用保險絲盒80A 60A 60A"
"1BX_FS_080800","驅動器用保險絲盒80A 80A"
"1BX_FS_120800","驅動器用保險絲盒125A 80A"
"1BX_FS_120806","驅動器用保險絲盒125A 80A 60A"
"1BX_FS_120808","驅動器用保險絲盒125A 80A 80A"
"1BX_FS_121200","驅動器用保險絲盒125A 125A"
"1BX_FS_121250","驅動器用保險絲盒125A 125A 50A"
"1BX_FS_150805","驅動器用保險絲盒150A 80A 50A"
"1BX_FS_150806","驅動器用保險絲盒150A 80A 60A"
"1BX_FS_151200","驅動器用保險絲盒150A 125A"
"1BX_FS_151206","驅動器用保險絲盒150A 125A 60A"
"1BX_FS_151506","驅動器用保險絲盒150A 150A 60A"
"1BX_FS_151515","驅動器用保險絲盒150A 150A 150A"
"1BX_FS_201200","驅動器用保險絲盒200A 125A"
"1BX_FS_201500","驅動器用保險絲盒200A 150A"
"1BX_FS_201515","驅動器用保險絲盒200A 150A 150A"
"1BX_FS_202015","驅動器用保險絲盒200A 200A 150A"
"1BX_FS_251206","驅動器用保險絲盒250A 125A 60A"
"1BX_FS_251500","驅動器用保險絲盒250A 150A"
"1BX_FS_251515","驅動器用保險絲盒250A 150A 150A"
"1BX_FS_252000","驅動器用保險絲盒250A 200A 200A"
"1BX_FS_252006","驅動器用保險絲盒250A 200A 60A"
"1BX_FS_252020","驅動器用保險絲盒250A 200A 200A"
"1BX_FS_252515","驅動器用保險絲盒250A 250A 150A"
"1BX_FS_301200","驅動器用保險絲盒300A 125A"
"1BX_FS_301500","驅動器用保險絲盒300A 150A"
"1BX_FS_301508","驅動器用保險絲盒300A 150A 80A"
"1BX_FS_302525","驅動器用保險絲盒300A 250A 250A"
"1BX_HMC6A","HMC6A"
"1BX_HMC6A_DG","HMC6A-DG"
"1BX_HMC6B","HMC6B"
"1BX_HMC6B_V1CE","HMC6B"
"1BX_HT07C_NA","7.4"" NAYA COLOR HT BOX 自調"
"1BX_HT08T_MI","HT MITSUBISHI 8.4""TFT BOX"
"1BX_HT10T_SH52R","10.4"" SHARP DG52R TFT HT BOX"
"1BX_HTP3360_KEY_S","按鍵模組"
"1BX_HTP3360_LCD","顯示模組"
"1BX_HTP3360_LCD_1","顯示模組 無HMI3354及液晶排線"
"1BX_HUNTER_A1","HUNTER-110KW"
"1BX_HUNTER_A3","HUNTER-132KW"
"1BX_HUNTER_A6","HUNTER-160KW"
"1BX_HUNTER_C3","HUNTER-93KW"
"1BX_HUNTER_C3_2","HUNTER-93KW 220V"
"1BX_HUNTER_C3_2_TW","HUNTER-93KW 220V（台灣）"
"1BX_HUNTER_C3_E","HUNTER-93KW(台灣)"
"1BX_HUNTER_C3_TW","HUNTER-93KW(台灣)"
"1BX_HUNTER_E5","HUNTER-75KW"
"1BX_HUNTER_E5_2","HUNTER-75KW 220V"
"1BX_HUNTER_E5_2_TW","HUNTER-75KW 220V（台灣）"
"1BX_HUNTER_E5_E","HUNTER-75KW(台灣)"
"1BX_HUNTER_E5_O","hunter 75KW 海天國外"
"1BX_HUNTER_E5_TM","HUNTER 75KW 普通"
"1BX_HUNTER_E5_TW","HUNTER-75KW(台灣)"
"1BX_HUNTER_G5","HUNTER-55KW"
"1BX_HUNTER_G5_2","HUNTER-55KW  220V"
"1BX_HUNTER_G5_2_TW","HUNTER55KW 220V（台灣）"
"1BX_HUNTER_G5_E","HUNTER-55KW(台灣)"
"1BX_HUNTER_G5_LL","HUNTER 55KW 普通 無反轉"
"1BX_HUNTER_G5_O","hunter 55KW 海天國外"
"1BX_HUNTER_G5_TM","HUNTER 55KW 普通"
"1BX_HUNTER_G5_TW","HUNTER-55KW(台灣)"
"1BX_HUNTER_G5_Y","HUNTER 55KW （弘訊印度）"
"1BX_HUNTER_H5","HUNTER-45KW"
"1BX_HUNTER_H5_2","HUNTER-45KW  220V"
"1BX_HUNTER_H5_2_TW","HUNTER45KW 220V（台灣）"
"1BX_HUNTER_H5_E","HUNTER-45KW(台灣)"
"1BX_HUNTER_H5_LL","HUNTER 45KW 普通 無反轉"
"1BX_HUNTER_H5_O","hunter 45KW 海天國外"
"1BX_HUNTER_H5_TM","HUNTER 45KW 普通"
"1BX_HUNTER_H5_TW","HUNTER-45KW(台灣)"
"1BX_HUNTER_H5_Y","HUNTER 45KW （弘訊印度）"
"1BX_HUNTER_I0","HUNTER-30KW"
"1BX_HUNTER_I0__YD","hunter 30KW 海天印度"
"1BX_HUNTER_I0_2","HUNTER-30KW 220V"
"1BX_HUNTER_I0_2_TW","HUNTER30KW 220V（台灣）"
"1BX_HUNTER_I0_E","HUNTER-30KW(台灣)"
"1BX_HUNTER_I0_LL","HUNTER 30KW 普通 無反轉"
"1BX_HUNTER_I0_O","hunter 30KW 海天國外"
"1BX_HUNTER_I0_TM","HUNTER 30KW 普通"
"1BX_HUNTER_I0_TW","HUNTER-30KW(台灣)"
"1BX_HUNTER_I7","HUNTER-37KW"
"1BX_HUNTER_I7_2","HUNTER37KW 220V"
"1BX_HUNTER_I7_2_TW","HUNTER37KW 220V（台灣）"
"1BX_HUNTER_I7_E","HUNTER-37KW(台灣)"
"1BX_HUNTER_I7_LL","HUNTER 37KW 普通 無反轉"
"1BX_HUNTER_I7_O","hunter 37KW 海天國外"
"1BX_HUNTER_I7_TM","HUNTER 37KW 普通"
"1BX_HUNTER_I7_TW","HUNTER-37KW(台灣)"
"1BX_HUNTER_I7_Y","HUNTER 37KW （弘訊印度）"
"1BX_HUNTER_J3","HUNTER-22KW"
"1BX_HUNTER_J3__YD","hunter 22KW 海天印度"
"1BX_HUNTER_J3_2","HUNTER-22KW 220V"
"1BX_HUNTER_J3_2_TW","HUNTER23KW 220V（台灣）"
"1BX_HUNTER_J3_E","HUNTER-22KW(台灣)"
"1BX_HUNTER_J3_O","hunter 22KW 海天國外"
"1BX_HUNTER_J3_TM","HUNTER 22KW 普通"
"1BX_HUNTER_J3_TW","HUNTER-22KW(台灣)"
"1BX_HUNTER_K1","HUNTER-11kw"
"1BX_HUNTER_K1__YD","hunter 11KW 海天印度"
"1BX_HUNTER_K1_2","HUNTER-11KW  220V"
"1BX_HUNTER_K1_2_TW","HUNTER11KW 220V（台灣）"
"1BX_HUNTER_K1_E","HUNTER-11kw(台灣)"
"1BX_HUNTER_K1_O","hunter 11KW 海天國外"
"1BX_HUNTER_K1_PMH","HUNTER-11kw+磁環+軟體+中英文說明書+春禾剎車電阻"
"1BX_HUNTER_K1_TM","HUNTER 11KW 普通"
"1BX_HUNTER_K1_TW","HUNTER-11KW(台灣)"
"1BX_HUNTER_K5","HUNTER-15KW"
"1BX_HUNTER_K5__YD","hunter 15KW 海天印度"
"1BX_HUNTER_K5_2","HUNTER-15KW 220V"
"1BX_HUNTER_K5_2_TW","HUNTER15KW 220V（台灣）"
"1BX_HUNTER_K5_E","HUNTER-15KW(台灣)"
"1BX_HUNTER_K5_I","hunter 15KW 海天國內"
"1BX_HUNTER_K5_O","hunter 15KW 海天國外"
"1BX_HUNTER_K5_S","1BX_HUNTER_K5_S"
"1BX_HUNTER_K5_TM","HUNTER 15KW 普通"
"1BX_HUNTER_K5_TW","HUNTER-15KW(台灣)"
"1BX_HUNTER_K7","HUNTER-18.5KW"
"1BX_HUNTER_K7__YD","hunter 18.5KW 海天印度"
"1BX_HUNTER_K7_2","HUNTER-18.5KW 220V"
"1BX_HUNTER_K7_2_TW","HUNTER18.5KW 220V（台灣）"
"1BX_HUNTER_K7_E","HUNTER-18.5KW(台灣)"
"1BX_HUNTER_K7_I","hunter 18.5KW 海天國內"
"1BX_HUNTER_K7_LL","HUNTER 18.5KW 普通 無反轉"
"1BX_HUNTER_K7_O","hunter 18.5KW 海天國外"
"1BX_HUNTER_K7_TM","HUNTER 18.5KW 普通"
"1BX_HUNTER_K7_TW","HUNTER-18.5KW(台灣)"
"1BX_HUNTER_L5_2","HUNTER-5.5KW  220V"
"1BX_HYB","HYB"
"1BX_HYBN","HYBN"
"1BX_ID680C0F3","ID680 風冷 90KW"
"1BX_ID680C0F3_TM","ID680 風冷 90KW"
"1BX_ID680C0W3","ID600L 液冷 90KW"
"1BX_ID680C0W3_TM","ID600L 液冷 90KW"
"1BX_ID680E5F3","ID680 風冷 75KW"
"1BX_ID680E5F3_TM","ID680 風冷 75KW"
"1BX_ID680E5F3_TW","ID680-75KW（台灣）"
"1BX_ID680E5W3","ID600L 液冷 75KW"
"1BX_ID680E5W3_TM","ID600L 液冷 75KW"
"1BX_ID680G5F3","ID680 風冷 55KW"
"1BX_ID680G5F3_TM","ID680 風冷 55KW"
"1BX_ID680G5F3_TW","ID680-55KW（台灣）"
"1BX_ID680G5W3","ID600L 液冷 55KW"
"1BX_ID680G5W3_TM","ID600L 液冷 55KW"
"1BX_ID680H5F3","ID680 風冷 45KW"
"1BX_ID680H5F3_TM","ID680 風冷 45KW"
"1BX_ID680H5F3_TW","ID680-45KW（台灣）"
"1BX_ID680H5W3","ID600L 液冷 45KW"
"1BX_ID680H5W3_TM","ID600L 液冷 45KW"
"1BX_ID680I0F3","ID680 風冷 30KW"
"1BX_ID680I0F3_TM","ID680 風冷 30KW"
"1BX_ID680I0F3_TW","ID680-30KW（台灣）"
"1BX_ID680I7F3","ID680 風冷 37KW"
"1BX_ID680I7F3_TM","ID680 風冷 37KW"
"1BX_ID680I7F3_TW","ID680-37KW（台灣）"
"1BX_ID680I7W3","ID600L 液冷 37KW"
"1BX_ID680I7W3_TM","ID600L 液冷 37KW"
"1BX_ID680J2F3","ID680 風冷 22KW"
"1BX_ID680J2F3_TM","ID680 風冷 22KW 普通"
"1BX_ID680J2F3_TW","ID680-22KW（台灣）"
"1BX_ID680K1F3","ID680 風冷 11KW"
"1BX_ID680K1F3_TM","ID680 風冷 11KW"
"1BX_ID680K1F3_TW","ID680-11KW（台灣）"
"1BX_ID680K5F3","ID680 風冷 15KW"
"1BX_ID680K5F3_TM","ID680 風冷 15KW 普通"
"1BX_ID680K5F3_TW","ID680-15KW（台灣）"
"1BX_ID680K8F3","ID680 風冷 18.5KW"
"1BX_ID680K8F3_TM","ID680 風冷 18.5KW 普通"
"1BX_ID680K8F3_TW","ID680-18.5KW（台灣）"
"1BX_KJ50_24_ALL","KJ 主機38V 改 24V"
"1BX_KJ50_ALL","主機"
"1BX_KJ50_BO",""
"1BX_KJ50_FV_ALL","KJ主機    F 0-10V"
"1BX_KJ50_JD","主機+ROM512*2"
"1BX_KJ50_LU","主機+ROM512*2"
"1BX_KJ50_OJ","KE 主機  OJ"
"1BX_KJ50_PFV_ALL","KJ主機    P/F  0-10V"
"1BX_KJ50_PV_ALL","KE50 P:0-10V"
"1BX_KJ54_ALL","SYSTEM KJ50 CPU+AD04"
"1BX_LCV_070F_CHI","Q7 BOX"
"1BX_LCV_070F_FL","Q7 BOX"
"1BX_LCV_070F_GD","GD Q7 BOX"
"1BX_LCV_080F_CHI","8"" CHI MEI BOX"
"1BX_LCV_080F_FL","8"" FL 正崴 BOX"
"1BX_LCV_080T_CC","8"" CC 液晶  BOX"
"1BX_LCV_080T_ON","8"" ON液晶  BOX"
"1BX_LCV_084T_ON","8.4"" ON BOX"
"1BX_LCV_090T_ON","V9液晶BOX"
"1BX_LCV07C_NA","7.4"" NAYA COLOR 自調"
"1BX_LCV085T_AUO","V8 BOX"
"1BX_LCV10T_SH52R","10.4"" SHARP DG52R TFT BOX"
"1BX_LCV10T_SH52R_HT","10.4"" SHARP DG52R TFT BOX"
"1BX_LCV10T_TO","TOSHIBA 10.4""TFT LCD BOX"
"1BX_LCV12T_CHI","12.1 TFT MMI USE"
"1BX_LCV81_C07","7.4"" NAYA COLOR 手調"
"1BX_LCV81_C07C","7.4"" NAYA COLOR 自調"
"1BX_LED_121T_CHI","12.1"" 奇美 LED TFT BOX ㄇ型 MMI USE"
"1BX_LED_121T_CHI_C1","12.1"" 奇美 LED TFT BOX C1"
"1BX_LU_11KW",""
"1BX_LU_15KW",""
"1BX_LU_18.5KW",""
"1BX_LU_22KW",""
"1BX_LU_7.5KW",""
"1BX_P605BR4T9P","RACK4,AD05,DT9,IO32"
"1BX_P605CR5TPT9P","RACK5,IO48,T0P,T9P"
"1BX_P78C4M9","R4,7000CPU,AD8,IO3248,PWM09"
"1BX_PILOT1_1N_ALL","SYSTEM PILOT1+INET"
"1BX_PILOT1H_1N_ALL","SYSTEM PILOT1H+INET"
"1BX_PILOT2_1N_ALL","PILOT2_1N"
"1BX_PILOT2H_1N_ALL","SYSTEM PILOT2H NO LOGO+INET"
"1BX_PILOT2H_N_A1","PILOT2+INET+快速模溫 HTlogo"
"1BX_PILOT3_ALL","PILOT3"
"1BX_PILOT3_ALL_1","PILOT3"
"1BX_PILOT3_V2_ALL_1","PILOT3  NO LOGO V2"
"1BX_PILOT3A_1N_ALL","SYSTEM PILOT3A  NO LOGO+NET"
"1BX_PILOT3A_1N_ALL_U","PILOT3A 0~10V"
"1BX_PILOT3A_1NX3_ALL","P3 ,F3 正負10V +NET"
"1BX_PILOT3A_1NX5_ALL","P4 ,F4 正負10V++NET"
"1BX_PILOT3A_1NX6_ALL","P3F3,±10V;P4F4,±10V +NET"
"1BX_PILOT3A_ALL_1","SYSTEM PILOT3A  NO LOGO"
"1BX_PILOT3A_HTN_ALL","SYSTEM PILOT3A 海天上蓋+NET"
"1BX_PILOT3A_N_X5_ALL","P4 ,F4 正負10V++NET 海天上蓋"
"1BX_PILOT3A_N_X6_ALL","P3F3,±10V;P4F4,±10V +NET海天上蓋"
"1BX_PILOT3A_OL_1N_ALL"," PILOT3A  NO LOGO+NET 付程式"
"1BX_PILOT3A_X5_TJN_ALL","PILOT3A,P4 ,F4 正負10V"
"1BX_PILOT3CE_A1","SYSTEM PILOT3 CE +3T1015"
"1BX_PILOT3H_1N","PILOT3  NO LOGO 高速溫度+INET"
"1BX_PILOT3H_1NV2_ALL","PILOT3H  NO LOGO V2"
"1BX_PILOT3H_1NV3_ALL","PILOT3H  NO LOGO V3"
"1BX_PILOT3H_1NX5_ALL","PILOT3H_X5  P1F1電壓源，P4F4 +_10V TM"
"1BX_PILOT3H_HTN_ALL","PILOT3H NET 海天上蓋"
"1BX_PILOT3H_N_X5_ALL","PILOT3H_X5  P1F1電壓源，P4F4 +_10V HT上蓋"
"1BX_PILOT3H_V1_1N_ALL","PILOT3H  P3F3電壓源"
"1BX_PILOT5530_HT","SYSTEM PILOT5530 HT USE"
"1BX_PILOT5530_V3_HT","DA5、DA6為 ±10V，其餘為 0 ~ 10V"
"1BX_PILOT5530_V4_HT","DA7、DA8為 ±10V，其餘為 0 ~ 10V"
"1BX_PILOT5530_V8_HT","DA5,DA6,DA7,DA8為 ±10V，其餘為 0 ~ 10V"
"1BX_PILOT5531_CY","SYSTEM PILOT5531 CY USE"
"1BX_PILOT5531_HT","SYSTEM PILOT5531 HT USE"
"1BX_PILOT5531_V4_HT","SYSTEM PILOT5531 HT USE"
"1BX_PILOT5580_HT","SYSTEM PILOT5580 HT USE"
"1BX_RGM50","璧厚控制器主機"
"1BX_RGM50_LN","RGM50+270-Q8   樂能專用排渣控制器"
"1BX_RGM50_SJ","RGM50+270-Q8 收卷機控制器"
"1BX_RGM50_TM","璧厚控制器"
"1BX_RGM50_TM2","璧厚控制器V2版"
"1BX_RGM50_V2","主機+-10V 輸出"
"1BX_RGM50A","璧厚控制器主機"
"1BX_RGM50A_V2","主機+-10V 輸出"
"1BX_S383_ALL","383主機"
"1BX_SA60E_ALL","SYSTEM A60 CPU+備件"
"1BX_SA63E_24_ALL","A63主機38V 改 24V"
"1BX_SA63E_A1","SYSTEM A62 CPU+AD03E"
"1BX_SA63E_ALL","A63主機"
"1BX_SA63E_O_ALL","A63 主機 8P"
"1BX_SA63E_O_PFV","A63主機 電壓型+8P"
"1BX_SA63E_OJ","SYSTEM A62 CPU+AD03E"
"1BX_SA63EV_ALL","主機，壓力流量改為0-10V"
"1BX_SA64E_ALL","SYSTEM A62 CPU+AD04E"
"1BX_SA64E_O_ALL","A64 主機 8p"
"1BX_SA64EV_ALL","SYSTEM A60 0-10V+AD04E備件"
"1BX_SANDAL2","SANDAL2主機"
"1BX_SI_11KW",""
"1BX_SI_15KW",""
"1BX_SI_18.5KW",""
"1BX_SI_22KW",""
"1BX_SI_30KW",""
"1BX_SI_37KW",""
"1BX_SI_45KW",""
"1BX_SI_55KW",""
"1BX_SI_75KW",""
"1BX_SMC2812NC_M1","N2C（海天）"
"1BX_SMC2812NC_TM","N2C（標準）"
"1BX_SMC335H_1","SMC335_EC 擠出機"
"1BX_SMCH","SMCH擠出機"
"1BX_SMCH_1","擠出機"
"1BX_SMCH_1_PS","SMCH PS USE 擠出機 AD3 4-20mA"
"1BX_SPV","SYSTEM SPVA"
"1BX_SWITCHGEAR","3E開關櫃"
"1BX_TECH1H_1","SYSTEM TECH1H"
"1BX_TECH1H_ALL_1","SYSTEM TECH1H"
"1BX_TECH1H_ALL_1_TM","SYSTEM TECH1H（主機帶標準程式）"
"1BX_TECH1H_ALL_1_U","TECH1主機"
"1BX_TECH1H_ALL_OL","SYSTEM TECH1H"
"1BX_TECH1H_ALL_ST","SYSTEM TECH1H"
"1BX_TECH1S","TECH1S"
"1BX_TECH2H_1","SYSTEM TECH2H NO LOGO"
"1BX_TECH2H_ALL","SYSTEM TECH2H HT LOGO"
"1BX_TECH2H_ALL_1","SYSTEM TECH2H NO LOGO"
"1BX_TECH2H_ALL_1(T1)","SYSTEM TECH2H NO LOGO"
"1BX_TECH2H_ALL_1_TM","SYSTEM TECH2H NO LOGO（主機帶標準程式）"
"1BX_TECH2H_ALL_1_U","TECH2主機0~10V"
"1BX_TECH2H_ALL_EA","SYSTEM TECH2H EA"
"1BX_TECH2H_ALL_OL","SYSTEM TECH2H NO LOGO"
"1BX_TECH2H_ALL_TJ","SYSTEM TECH2H TJ  LOGO"
"1BX_TECH2H_V2_1N_ALL","SYSTEM TECH2H V2 TM"
"1BX_TECH2H_V2_ALL","SYSTEM TECH2H V2"
"1BX_TECH2H_X1_ALL_1","TECH2H P2F2 +_10V"
"1BX_TECH2H_X5_ALL","HT  TECH2H P4.F4 +-10V"
"1BX_TECH2H_X5_ALL_1","SYSTEM TECH2H P4.F4 +-10V"
"1BX_TECH2S","TECH2S主機"
"1BX_TECH2S_X5_ALL_1","SYSTEM TECH2S P4.F4 +-10V"
"1BX_TECH530","SMC55M28M3+ RGM5530M1配置"
"1BX_TECH530_V3Z1","DA5.DA6正負10V輸出"
"1BX_TECH530_V4Z1","DA7、DA8增加正負10V"
"1BX_TECH530_Z1","TECH530主機 DA1通道改為正負10V"
"1BX_TECH580_TM","TECH580"
"1BX_TECH580_TM(T1)","TECH580主機"
"1BX_TECH580_V6_TM","TECH580 11.12通道+-10V"
"1BX_TECH580_V6Z1_TM","TECH580"
"1BX_TECH580_V9Z1_TM","TECH580主機，55部分DA7 &DA9 &DA11為±10V，28部分DA1為±10V"
"1BX_TECHHYBH_ALL_1","TECHHYBH_ALL"
"1BX_TECHHYBH_ALL_CM","TECHHYBH_ALL"
"1BX_TECHHYBS","SYSTEM TECHHYBS"
"1BX_TM_11KW_P",""
"1BX_TM_15KW_P",""
"1BX_TM_18.5KW_P",""
"1BX_TM_22KW_P",""
"1BX_TM_30KW_P",""
"1BX_TM_7.5KW_P",""
"1BX_UA63E_ALL","UA63主機"
"1BX_UA63E_PFV_ALL","UA63主機"
"1BX_VTINJ_ALL","VTINJ"
"1DKX_AG5","A-55/75KW電控箱配件"
"1DKX_AG5A","A-55/75KW電控箱配件(配A2V)"
"1DKX_AH5","A-45KW電控箱配件"
"1DKX_AH5A","A-45KW電控箱配件(配A2V)"
"1DKX_AI0","A-18.5/23/30KW電控箱配件"
"1DKX_AI0A","A-18.5/23/30KW電控箱配件(配A2V)"
"1DKX_AI7","A-37KW電控箱配件"
"1DKX_AI7A","A-37KW電控箱配件(配A2V)"
"1DKX_AK5","A-11/15KW電控箱配件"
"1DKX_AK5A","A-15KW電控箱配件(配A2V)"
"1DKX_DK5","H(Ⅱ)-11/15/18.5/22KW電控箱配件"
"1DKX_HG5","H-55/75/93KW電控箱配件"
"1DKX_HG5A","H-55/75/93KW電控箱配件(配A2V)"
"1DKX_HH5","H-45KW電控箱配件"
"1DKX_HH5A","H-45KW電控箱配件(配A2V)"
"1DKX_HI0","H-18.5/22/30KW電控箱配件"
"1DKX_HI0A","H-18.5/22/30KW電控箱配件(配A2V)"
"1DKX_HI7","H-37KW電控箱配件"
"1DKX_HI7A","H-37KW電控箱配件(配A2V)"
"1DKX_HK1_PB","H-11W電控箱配件"
"1DKX_HK5","H-11/15KW電控箱配件"
"1DKX_HK5A","H-11/15KW電控箱配件(配A2V)"
"1DKY_IK8","1DKX_DK5電控箱配件+ID680驅動器18.5KW"
"1DS_LCV_C07_163A","NY 7.4"" LCBLDT163M14C"
"1DS_LCV_C08_AA084_1","液晶 8.4""TFT AA084VC03 MITSUBISHI"
